"","Open","High","Low","Close","Med","CO"
"2017-02-03 07:00:00",1.0685,1.06874,1.06788,1.0684,1.06831,-9.9999999999989e-05
"2017-02-03 07:30:00",1.0684,1.0688,1.06814,1.06863,1.06847,0.000229999999999952
"2017-02-03 08:00:00",1.06865,1.06882,1.06804,1.06853,1.06843,-0.00012000000000012
"2017-02-03 08:30:00",1.06852,1.06863,1.06645,1.06653,1.06754,-0.00198999999999994
"2017-02-03 09:00:00",1.06653,1.06684,1.06577,1.06624,1.066305,-0.000289999999999901
"2017-02-03 09:30:00",1.06624,1.06731,1.0655,1.06679,1.066405,0.000549999999999828
"2017-02-03 10:00:00",1.0668,1.06767,1.06643,1.06765,1.06705,0.000850000000000017
"2017-02-03 10:30:00",1.06765,1.06888,1.06742,1.06837,1.06815,0.000720000000000054
"2017-02-03 11:00:00",1.06838,1.06949,1.06801,1.06932,1.06875,0.000939999999999941
"2017-02-03 11:30:00",1.06932,1.07025,1.06892,1.06948,1.069585,0.000159999999999938
"2017-02-03 12:00:00",1.06947,1.06957,1.06849,1.06853,1.06903,-0.000939999999999941
"2017-02-03 12:30:00",1.06853,1.06861,1.06761,1.0682,1.06811,-0.000329999999999941
"2017-02-03 13:00:00",1.06821,1.06837,1.06751,1.06833,1.06794,0.000119999999999898
"2017-02-03 13:30:00",1.06834,1.06915,1.06807,1.06824,1.06861,-9.9999999999989e-05
"2017-02-03 14:00:00",1.06826,1.06829,1.06716,1.06755,1.067725,-0.000709999999999988
"2017-02-03 14:30:00",1.06752,1.06755,1.0663,1.0666,1.066925,-0.000920000000000032
"2017-02-03 15:00:00",1.0666,1.06712,1.06632,1.06653,1.06672,-7.00000000000145e-05
"2017-02-03 15:30:00",1.06655,1.06712,1.06598,1.06712,1.06655,0.000569999999999959
"2017-02-03 16:00:00",1.06704,1.06712,1.06297,1.06356,1.065045,-0.00347999999999993
"2017-02-03 16:30:00",1.06356,1.0643,1.06304,1.06377,1.06367,0.000210000000000043
"2017-02-03 17:00:00",1.06374,1.06383,1.06318,1.06365,1.063505,-8.99999999999235e-05
"2017-02-03 17:30:00",1.06366,1.06589,1.06279,1.0629,1.06434,-0.000760000000000094
"2017-02-03 18:00:00",1.06272,1.06318,1.06259,1.06291,1.062885,0.000189999999999912
"2017-02-03 18:30:00",1.06294,1.06344,1.06284,1.06321,1.06314,0.000269999999999992
"2017-02-03 19:00:00",1.06324,1.06348,1.06267,1.06286,1.063075,-0.000380000000000047
"2017-02-03 19:30:00",1.06287,1.06329,1.06238,1.06274,1.062835,-0.000129999999999963
"2017-02-03 20:00:00",1.06272,1.06336,1.0626,1.06318,1.06298,0.000459999999999905
"2017-02-03 20:30:00",1.06321,1.06338,1.06217,1.0625,1.062775,-0.000709999999999988
"2017-02-03 21:00:00",1.0625,1.06323,1.06239,1.06286,1.06281,0.000359999999999916
"2017-02-03 21:30:00",1.06287,1.06302,1.06227,1.06275,1.062645,-0.000119999999999898
"2017-02-03 22:00:00",1.06273,1.06414,1.06265,1.06378,1.063395,0.00105
"2017-02-03 22:30:00",1.06378,1.06404,1.06332,1.06372,1.06368,-5.9999999999949e-05
"2017-02-03 23:00:00",1.06368,1.06433,1.06341,1.06414,1.06387,0.000460000000000127
"2017-02-03 23:30:00",1.06415,1.06448,1.06382,1.06382,1.06415,-0.000329999999999941
"2017-02-04 00:00:00",1.06382,1.06425,1.06371,1.06378,1.06398,-4.000000000004e-05
"2017-02-04 00:30:00",1.06377,1.06407,1.06362,1.06402,1.063845,0.000249999999999861
"2017-02-04 01:00:00",1.06402,1.06403,1.06309,1.0637,1.06356,-0.000319999999999876
"2017-02-04 01:30:00",1.0637,1.06403,1.06342,1.06386,1.063725,0.000159999999999938
"2017-02-04 02:00:00",1.06385,1.06406,1.06327,1.0637,1.063665,-0.000149999999999872
"2017-02-04 02:30:00",1.06375,1.06432,1.06362,1.06418,1.06397,0.00042999999999993
"2017-02-04 03:00:00",1.06418,1.06467,1.06355,1.06368,1.06411,-0.000499999999999945
"2017-02-04 03:30:00",1.06368,1.06466,1.06317,1.06416,1.063915,0.000480000000000036
"2017-02-04 04:00:00",1.06415,1.06545,1.06373,1.06516,1.06459,0.00101000000000018
"2017-02-04 04:30:00",1.06515,1.0655,1.06453,1.06546,1.065015,0.000310000000000032
"2017-02-04 05:00:00",1.06547,1.06702,1.06518,1.06636,1.0661,0.000890000000000057
"2017-02-04 05:30:00",1.06639,1.06678,1.06595,1.06603,1.066365,-0.000359999999999916
"2017-02-04 06:00:00",1.06602,1.06623,1.06551,1.06561,1.06587,-0.000410000000000021
"2017-02-04 06:30:00",1.06562,1.06589,1.06529,1.06555,1.06559,-7.00000000000145e-05
"2017-02-04 07:00:00",1.06553,1.06603,1.06535,1.0658,1.06569,0.000269999999999992
"2017-02-04 07:30:00",1.06579,1.06647,1.06525,1.06635,1.06586,0.000559999999999894
"2017-02-04 08:00:00",1.06634,1.0668,1.06594,1.0662,1.06637,-0.000140000000000029
"2017-02-04 08:30:00",1.0662,1.06687,1.06573,1.06686,1.0663,0.000659999999999883
"2017-02-04 09:00:00",1.06683,1.06762,1.06659,1.06677,1.067105,-5.9999999999949e-05
"2017-02-04 09:30:00",1.06677,1.06677,1.06024,1.06189,1.063505,-0.00488
"2017-02-04 10:00:00",1.06187,1.06205,1.05887,1.06135,1.06046,-0.000520000000000076
"2017-02-04 10:30:00",1.06136,1.06223,1.05895,1.05901,1.06059,-0.00235000000000007
"2017-02-04 11:00:00",1.05904,1.06095,1.05893,1.06,1.05994,0.000960000000000072
"2017-02-04 11:30:00",1.05999,1.06214,1.05886,1.06089,1.0605,0.000900000000000123
"2017-02-04 12:00:00",1.06095,1.06365,1.06093,1.06304,1.06229,0.00208999999999993
"2017-02-04 12:30:00",1.06305,1.06362,1.06276,1.06295,1.06319,-9.9999999999989e-05
"2017-02-04 13:00:00",1.06294,1.0633,1.06171,1.06267,1.062505,-0.000269999999999992
"2017-02-04 13:30:00",1.06266,1.06325,1.06143,1.06314,1.06234,0.000480000000000036
"2017-02-04 14:00:00",1.06316,1.06407,1.06178,1.06365,1.062925,0.000489999999999879
"2017-02-04 14:30:00",1.06364,1.06369,1.06256,1.06261,1.063125,-0.00102999999999986
"2017-02-04 15:00:00",1.06261,1.06425,1.06244,1.06389,1.063345,0.00127999999999995
"2017-02-04 15:30:00",1.0639,1.06598,1.06371,1.06591,1.064845,0.00200999999999985
"2017-02-04 16:00:00",1.06592,1.06689,1.06545,1.06586,1.06617,-5.9999999999949e-05
"2017-02-04 16:30:00",1.06586,1.06655,1.06564,1.06602,1.066095,0.000159999999999938
"2017-02-04 17:00:00",1.066,1.06627,1.0657,1.0662,1.065985,0.000199999999999978
"2017-02-04 17:30:00",1.06619,1.06653,1.06607,1.0663,1.0663,0.000110000000000054
"2017-02-04 18:00:00",1.06621,1.06645,1.06563,1.06576,1.06604,-0.000450000000000061
"2017-02-04 18:30:00",1.06583,1.06616,1.06566,1.06574,1.06591,-9.00000000001455e-05
"2017-02-04 19:00:00",1.06574,1.06616,1.06574,1.06596,1.06595,0.000220000000000109
"2017-02-04 19:30:00",1.06591,1.066,1.06556,1.06589,1.06578,-1.9999999999909e-05
"2017-02-04 20:00:00",1.06589,1.06616,1.06522,1.06539,1.06569,-0.000499999999999945
"2017-02-04 20:30:00",1.06539,1.06576,1.06519,1.06533,1.065475,-5.9999999999949e-05
"2017-02-06 21:00:00",1.06533,1.06734,1.06533,1.0671,1.066335,0.00176999999999983
"2017-02-06 21:30:00",1.06711,1.0687,1.06705,1.0681,1.067875,0.000990000000000046
"2017-02-06 22:00:00",1.0681,1.06833,1.06748,1.06751,1.067905,-0.00059000000000009
"2017-02-06 22:30:00",1.06751,1.06793,1.06743,1.06766,1.06768,0.000150000000000095
"2017-02-06 23:00:00",1.06766,1.06909,1.06766,1.06909,1.068375,0.00143000000000004
"2017-02-06 23:30:00",1.0691,1.06929,1.06846,1.06847,1.068875,-0.000629999999999908
"2017-02-07 00:00:00",1.06848,1.06855,1.06799,1.06802,1.06827,-0.000460000000000127
"2017-02-07 00:30:00",1.06802,1.06822,1.06778,1.06797,1.068,-4.99999999998835e-05
"2017-02-07 01:00:00",1.06796,1.06809,1.06748,1.06807,1.067785,0.000110000000000054
"2017-02-07 01:30:00",1.06807,1.06808,1.06707,1.0672,1.067575,-0.000870000000000148
"2017-02-07 02:00:00",1.06719,1.0682,1.06719,1.068,1.067695,0.000809999999999977
"2017-02-07 02:30:00",1.06801,1.06856,1.06757,1.06822,1.068065,0.000210000000000043
"2017-02-07 03:00:00",1.06822,1.06917,1.06801,1.06841,1.06859,0.000190000000000135
"2017-02-07 03:30:00",1.06841,1.0685,1.06707,1.06716,1.067785,-0.00124999999999997
"2017-02-07 04:00:00",1.06713,1.06832,1.06637,1.06642,1.067345,-0.000709999999999988
"2017-02-07 04:30:00",1.06642,1.06683,1.06599,1.06626,1.06641,-0.000159999999999938
"2017-02-07 05:00:00",1.06626,1.06665,1.06556,1.0658,1.066105,-0.000459999999999905
"2017-02-07 05:30:00",1.06579,1.06619,1.06417,1.06458,1.06518,-0.00120999999999993
"2017-02-07 06:00:00",1.06457,1.06469,1.06348,1.06399,1.064085,-0.000580000000000025
"2017-02-07 06:30:00",1.06399,1.06409,1.06272,1.06366,1.063405,-0.000329999999999941
"2017-02-07 07:00:00",1.06367,1.06395,1.06288,1.06316,1.063415,-0.000509999999999788
"2017-02-07 07:30:00",1.06314,1.06411,1.06282,1.06383,1.063465,0.000690000000000079
"2017-02-07 08:00:00",1.06384,1.06438,1.06338,1.06433,1.06388,0.000490000000000101
"2017-02-07 08:30:00",1.06433,1.06461,1.06255,1.0627,1.06358,-0.00163000000000002
"2017-02-07 09:00:00",1.06272,1.06462,1.06248,1.06444,1.06355,0.00171999999999994
"2017-02-07 09:30:00",1.06438,1.0657,1.0642,1.06559,1.06495,0.00120999999999993
"2017-02-07 10:00:00",1.06558,1.06661,1.06511,1.0663,1.06586,0.000720000000000054
"2017-02-07 10:30:00",1.06633,1.06663,1.06539,1.06547,1.06601,-0.000860000000000083
"2017-02-07 11:00:00",1.06548,1.06831,1.06545,1.06749,1.06688,0.00201000000000007
"2017-02-07 11:30:00",1.0675,1.06794,1.06646,1.06782,1.0672,0.000320000000000098
"2017-02-07 12:00:00",1.06781,1.06812,1.06637,1.06767,1.067245,-0.000140000000000029
"2017-02-07 12:30:00",1.06769,1.06827,1.06724,1.06787,1.067755,0.000180000000000069
"2017-02-07 13:00:00",1.06787,1.06944,1.06631,1.06882,1.067875,0.000950000000000006
"2017-02-07 13:30:00",1.06883,1.06909,1.06699,1.06744,1.06804,-0.00139
"2017-02-07 14:00:00",1.06744,1.06831,1.06656,1.06681,1.067435,-0.000629999999999908
"2017-02-07 14:30:00",1.06681,1.06826,1.06663,1.0681,1.067445,0.00129000000000001
"2017-02-07 15:00:00",1.0681,1.07002,1.06797,1.06935,1.068995,0.00124999999999997
"2017-02-07 15:30:00",1.06938,1.07091,1.06902,1.07047,1.069965,0.00109000000000004
"2017-02-07 16:00:00",1.07047,1.07056,1.06907,1.06949,1.069815,-0.000979999999999981
"2017-02-07 16:30:00",1.06948,1.06957,1.0689,1.06957,1.069235,8.99999999999235e-05
"2017-02-07 17:00:00",1.06957,1.0697,1.06908,1.06946,1.06939,-0.000109999999999832
"2017-02-07 17:30:00",1.06946,1.0704,1.06926,1.06989,1.06983,0.00042999999999993
"2017-02-07 18:00:00",1.07,1.07035,1.06934,1.06999,1.069845,-1.00000000000655e-05
"2017-02-07 18:30:00",1.06995,1.07052,1.06986,1.07026,1.07019,0.000310000000000032
"2017-02-07 19:00:00",1.07028,1.07163,1.07026,1.07113,1.070945,0.000850000000000017
